Data,Nivel_cm,Vazao_m3s
2023-01-07 00:00:00,417.0,192.2
2023-01-07 01:00:00,441.0,213.7
2023-01-07 02:00:00,453.0,224.7
2023-01-07 03:00:00,467.0,237.7
2023-01-07 04:00:00,492.0,261.7
2023-01-07 05:00:00,499.0,268.5
2023-01-07 06:00:00,498.0,267.6
2023-01-07 07:00:00,503.0,272.5
2023-01-07 08:00:00,526.0,295.5
2023-01-07 09:00:00,535.0,304.7
2023-01-07 10:00:00,533.0,302.6
2023-01-07 11:00:00,530.0,299.6
2023-01-07 12:00:00,515.0,284.4
2023-01-07 13:00:00,510.0,279.4
2023-01-07 14:00:00,514.0,283.4
2023-01-07 15:00:00,519.0,288.4
2023-01-07 16:00:00,531.0,300.6
2023-01-07 17:00:00,535.0,304.7
2023-01-07 18:00:00,546.0,316.0
2023-01-07 19:00:00,556.0,326.4
2023-01-07 20:00:00,565.0,335.9
2023-01-07 21:00:00,563.0,333.8
2023-01-07 22:00:00,571.0,342.3
2023-01-07 23:00:00,570.0,341.2
2023-01-08 00:00:00,569.0,340.2
2023-01-08 01:00:00,561.0,331.7
2023-01-08 02:00:00,554.0,324.3
2023-01-08 03:00:00,565.0,335.9
2023-01-08 04:00:00,595.0,368.2
2023-01-08 05:00:00,599.0,372.6
2023-01-08 06:00:00,603.0,377.0
2023-01-08 07:00:00,618.0,393.7
2023-01-08 08:00:00,637.0,415.1
2023-01-08 09:00:00,670.0,453.2
2023-01-08 10:00:00,690.0,476.9
2023-01-08 11:00:00,688.0,474.5
2023-01-08 12:00:00,684.0,469.8
2023-01-08 13:00:00,684.0,469.8
2023-01-08 14:00:00,684.0,469.8
2023-01-08 15:00:00,686.0,472.1
2023-01-08 16:00:00,684.0,469.8
2023-01-08 17:00:00,681.0,466.2
2023-01-08 18:00:00,678.0,462.7
2023-01-08 19:00:00,673.0,456.8
2023-01-08 20:00:00,667.0,449.7
2023-01-08 21:00:00,606.0,380.3
2023-01-08 22:00:00,626.0,402.6
2023-01-08 23:00:00,689.0,475.7
2023-01-09 00:00:00,683.0,468.6
2023-01-09 01:00:00,668.0,450.9
2023-01-09 02:00:00,664.0,446.2
2023-01-09 03:00:00,663.0,445.1
2023-01-09 04:00:00,664.0,446.2
2023-01-09 05:00:00,661.0,442.7
2023-01-09 06:00:00,665.0,447.4
2023-01-09 07:00:00,668.0,450.9
2023-01-09 08:00:00,668.0,450.9
2023-01-09 09:00:00,671.0,454.4
2023-01-09 10:00:00,645.0,424.2
2023-01-09 11:00:00,619.0,394.8
2023-01-09 12:00:00,668.0,450.9
2023-01-09 13:00:00,702.0,491.3
2023-01-09 14:00:00,698.0,486.5
2023-01-09 15:00:00,682.0,467.4
2023-01-09 16:00:00,671.0,454.4
2023-01-09 17:00:00,664.0,446.2
2023-01-09 18:00:00,652.0,432.3
2023-01-09 19:00:00,647.0,426.5
2023-01-09 20:00:00,643.0,421.9
2023-01-09 21:00:00,639.0,417.4
2023-01-09 22:00:00,637.0,415.1
2023-01-09 23:00:00,637.0,415.1
